0101000020E61000008BCE59B8E31C4840FC3B77FF6E0A1E40,,4,0,1402,Inner Rim,Hapes Cluster,O9,1402,,,,838.4347727,5368.460308,838.43,5368.46
0101000020E610000023B4E4EA87214D408CD615F89CDE4640,,4,0,592,Outer Rim,Gordian Reach,P6,592,,,,5738.648351,6485.691762,5738.65,6485.69
0101000020E610000069B85427043D4840EAC004160F8C1C40,,4,0,1398,Inner Rim,Hapes Cluster,O9,1398,,,,796.5246889,5396.400364,796.52,5396.4
0101000020E61000008254641581D154404846C88FE38A4C40,http://starwars.wikia.com/wiki/Ziost,1,0,725,Outer Rim,Sith Worlds,R4,725,Ziost,,Ziost,7777.52608,9269.964021,7777.53,9269.96
0101000020E6100000552AB6AAE333484000376C68877C1D40,,4,0,1400,Inner Rim,Hapes Cluster,O9,1400,,,,822.8772416,5388.462848,822.88,5388.46
0101000020E610000029BDA5A609512DC0634021F0B7AE4440,http://starwars.wikia.com/wiki/Uba,1,0,1742,Mid Rim,Barsa,J6,1742,Uba,,Uba,5066.32734,-1631.751904,5066.33,-1631.75
0101000020E610000048772A2542762CC03BD14709398043C0,http://starwars.wikia.com/wiki/Dahrtag,2,0,38,Core,,J13,39,Dahrtag,,Dahrtag,-4721.920903,-1584.184712,-4721.92,-1584.18
0101000020E6100000490C775F5B552CC0D9992E4471B652C0,,4,0,373,Outer Rim,Javin,J18,374,,,,-12868.32286,-1577.031249,-12868.32,-1577.03
0101000020E6100000DBFCD857693124C02559FAE4E64D52C0,,4,0,389,Outer Rim,Javin,K18,390,,,,-12206.70004,-1123.937999,-12206.7,-1123.94
0101000020E6100000B87D7FC0BC1F55407D15CF491F4C51C0,http://starwars.wikia.com/wiki/Gorno,2,0,500,Outer Rim,Arkanis,R17,500,Gorno,,Gorno,-10809.8776,9406.040062,-10809.88,9406.04
0101000020E61000008363AEE696B75740A93B11CB94C54EC0,http://starwars.wikia.com/wiki/Roon,1,0,977,Outer Rim,Abrion,S15,977,Roon,,Roon,-8751.725074,10560.7226,-8751.73,10560.72
0101000020E6100000FC43C09AACEB47401B7EF454F2342040,,4,0,1477,Inner Rim,Hapes Cluster,O9,1477,,,,905.0900623,5325.658576,905.09,5325.66
0101000020E6100000BAF9CF6C7E2C36C0D840CEA600893C40,http://starwars.wikia.com/wiki/Vaced,2,0,1741,Mid Rim,Jalor,J7,1741,Vaced,,Vaced,3316.615093,-2468.376581,3316.62,-2468.38
0101000020E61000005339539C020718C0A0320A4BA4C327C0,http://starwars.wikia.com/wiki/Prakith,1,0,0,Deep Core,,K10,1,Prakith,,Prakith,-1332.295014,-668.6790265,-1332.3,-668.68
0101000020E61000008F44D42597A2EFBF6FF2BFAC575A1FC0,http://starwars.wikia.com/wiki/Keeara_Major,2,0,1,Deep Core,,K10,2,Keeara_Major,,Keeara Major,-875.2816503,-110.0501662,-875.28,-110.05
0101000020E61000006D3BB8D698F5F5BF859ACA2873E41BC0,http://starwars.wikia.com/wiki/Symbia,2,0,2,Deep Core,,K10,3,Symbia,,Symbia,-778.1648193,-152.7815719,-778.16,-152.78
0101000020E6100000AFF7992E835ED0BFB759AEE53A5518C0,http://starwars.wikia.com/wiki/Kuar,2,0,3,Deep Core,,K10,4,Kuar,,Kuar,-678.4582061,-28.47202819,-678.46,-28.47
0101000020E610000035F88CA7F0B524C00BDD8E4FAC432DC0,http://starwars.wikia.com/wiki/Odik,2,0,4,Deep Core,,K11,5,Odik,,Odik,-1646.845638,-1152.752475,-1646.85,-1152.75
0101000020E6100000EC370CFD42E919C0747FAFD3EED037C0,http://starwars.wikia.com/wiki/Byss,0,0,5,Deep Core,,K11,6,Byss,,Byss,-2731.020431,-721.1047967,-2731.02,-721.1
